




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (4271)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
ubiquitin-dependent protein catabolic process (GO:0006511)	545	227	113.02	+	2.01	1.43E-17	1.80E-15
modification-dependent protein catabolic process (GO:0019941)	552	229	114.47	+	2.00	1.45E-17	1.81E-15
cytoplasmic translation (GO:0002181)	122	89	25.30	+	3.52	1.52E-17	1.88E-15
defense response (GO:0006952)	1426	156	295.72	-	.53	2.86E-17	3.51E-15
regulation of catabolic process (GO:0009894)	1066	370	221.07	+	1.67	2.96E-17	3.60E-15
regulation of translation (GO:0006417)	415	187	86.06	+	2.17	3.04E-17	3.67E-15
organic cyclic compound biosynthetic process (GO:1901362)	1196	404	248.03	+	1.63	3.20E-17	3.83E-15
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	120	87	24.89	+	3.50	4.21E-17	5.00E-15
cell communication (GO:0007154)	5656	912	1172.94	-	.78	5.23E-17	6.17E-15
mitotic cell cycle (GO:0000278)	750	283	155.54	+	1.82	5.71E-17	6.68E-15
RNA biosynthetic process (GO:0032774)	543	224	112.61	+	1.99	6.10E-17	7.08E-15
transcription, DNA-templated (GO:0006351)	530	220	109.91	+	2.00	6.52E-17	7.52E-15
nucleic acid-templated transcription (GO:0097659)	531	220	110.12	+	2.00	7.16E-17	8.20E-15
viral transcription (GO:0019083)	116	85	24.06	+	3.53	7.77E-17	8.83E-15
establishment of protein localization to membrane (GO:0090150)	313	153	64.91	+	2.36	1.19E-16	1.34E-14
mitochondrial gene expression (GO:0140053)	142	94	29.45	+	3.19	1.68E-16	1.88E-14
regulation of RNA metabolic process (GO:0051252)	3782	1023	784.31	+	1.30	1.83E-16	2.04E-14
regulation of cell cycle process (GO:0010564)	792	292	164.25	+	1.78	2.09E-16	2.31E-14
cell cycle process (GO:0022402)	957	335	198.46	+	1.69	4.64E-16	5.09E-14
cellular nitrogen compound catabolic process (GO:0044270)	423	185	87.72	+	2.11	4.76E-16	5.19E-14
heterocycle catabolic process (GO:0046700)	417	183	86.48	+	2.12	4.92E-16	5.32E-14
chromatin organization (GO:0006325)	703	264	145.79	+	1.81	1.04E-15	1.11E-13
aromatic compound catabolic process (GO:0019439)	438	188	90.83	+	2.07	1.28E-15	1.36E-13
mitotic cell cycle process (GO:1903047)	675	256	139.98	+	1.83	1.27E-15	1.36E-13
regulation of cellular amide metabolic process (GO:0034248)	479	200	99.34	+	2.01	1.34E-15	1.41E-13
immune response (GO:0006955)	2075	270	430.31	-	.63	1.65E-15	1.73E-13
establishment of protein localization to endoplasmic reticulum (GO:0072599)	116	81	24.06	+	3.37	1.86E-15	1.93E-13
regulation of cellular catabolic process (GO:0031329)	899	316	186.44	+	1.69	2.21E-15	2.28E-13
ribonucleoprotein complex subunit organization (GO:0071826)	196	110	40.65	+	2.71	2.30E-15	2.36E-13
protein targeting to ER (GO:0045047)	112	79	23.23	+	3.40	2.88E-15	2.94E-13
translational elongation (GO:0006414)	127	84	26.34	+	3.19	5.31E-15	5.38E-13
multicellular organismal process (GO:0032501)	6926	1178	1436.32	-	.82	8.83E-15	8.89E-13
protein targeting to membrane (GO:0006612)	182	103	37.74	+	2.73	1.15E-14	1.15E-12
signal transduction (GO:0007165)	5227	850	1083.98	-	.78	1.39E-14	1.38E-12
ribonucleoprotein complex assembly (GO:0022618)	189	105	39.19	+	2.68	1.64E-14	1.62E-12
organic cyclic compound catabolic process (GO:1901361)	466	191	96.64	+	1.98	2.25E-14	2.21E-12
protein modification by small protein conjugation (GO:0032446)	822	290	170.47	+	1.70	2.61E-14	2.54E-12
mitochondrion organization (GO:0007005)	468	191	97.05	+	1.97	2.65E-14	2.57E-12
cotranslational protein targeting to membrane (GO:0006613)	101	72	20.95	+	3.44	3.70E-14	3.57E-12
regulation of mRNA metabolic process (GO:1903311)	376	163	77.98	+	2.09	4.47E-14	4.28E-12
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	851	647.65	+	1.31	4.76E-14	4.54E-12
mitochondrial translation (GO:0032543)	112	76	23.23	+	3.27	5.27E-14	4.99E-12
regulation of mitotic cell cycle phase transition (GO:1901990)	434	180	90.00	+	2.00	5.82E-14	5.48E-12
regulation of cell cycle phase transition (GO:1901987)	522	205	108.25	+	1.89	6.21E-14	5.81E-12
defense response to bacterium (GO:0042742)	350	16	72.58	-	.22	7.61E-14	7.08E-12
protein localization to endoplasmic reticulum (GO:0070972)	143	87	29.66	+	2.93	8.52E-14	7.88E-12
regulation of mitotic cell cycle (GO:0007346)	588	223	121.94	+	1.83	9.50E-14	8.73E-12
positive regulation of cellular metabolic process (GO:0031325)	3314	892	687.26	+	1.30	1.05E-13	9.59E-12
nuclear transport (GO:0051169)	264	127	54.75	+	2.32	1.08E-13	9.73E-12
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	96	69	19.91	+	3.47	1.07E-13	9.75E-12
protein-containing complex disassembly (GO:0032984)	228	115	47.28	+	2.43	1.74E-13	1.56E-11
tRNA metabolic process (GO:0006399)	190	102	39.40	+	2.59	1.87E-13	1.67E-11
proteasomal protein catabolic process (GO:0010498)	361	156	74.86	+	2.08	2.05E-13	1.82E-11
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	149	70.09	+	2.13	2.35E-13	2.08E-11
positive regulation of macromolecule metabolic process (GO:0010604)	3522	935	730.39	+	1.28	3.72E-13	3.26E-11
nucleocytoplasmic transport (GO:0006913)	261	124	54.13	+	2.29	5.45E-13	4.76E-11
negative regulation of macromolecule metabolic process (GO:0010605)	2880	785	597.26	+	1.31	6.13E-13	5.32E-11
positive regulation of metabolic process (GO:0009893)	3820	1000	792.19	+	1.26	7.17E-13	6.19E-11
localization within membrane (GO:0051668)	615	226	127.54	+	1.77	7.73E-13	6.64E-11
negative regulation of metabolic process (GO:0009892)	3095	833	641.84	+	1.30	9.78E-13	8.36E-11
peptidyl-lysine modification (GO:0018205)	305	135	63.25	+	2.13	2.73E-12	2.32E-10
protein localization to membrane (GO:0072657)	542	203	112.40	+	1.81	3.37E-12	2.84E-10
transcription by RNA polymerase II (GO:0006366)	382	157	79.22	+	1.98	3.80E-12	3.20E-10
mitochondrial translational elongation (GO:0070125)	88	61	18.25	+	3.34	7.01E-12	5.86E-10
nuclear export (GO:0051168)	166	89	34.43	+	2.59	7.49E-12	6.23E-10
organonitrogen compound catabolic process (GO:1901565)	1091	346	226.25	+	1.53	8.06E-12	6.67E-10
macromolecule methylation (GO:0043414)	257	118	53.30	+	2.21	1.02E-11	8.40E-10
protein ubiquitination (GO:0016567)	746	256	154.71	+	1.65	1.08E-11	8.88E-10
methylation (GO:0032259)	313	135	64.91	+	2.08	1.10E-11	8.97E-10
translational termination (GO:0006415)	97	64	20.12	+	3.18	1.14E-11	9.20E-10
defense response to other organism (GO:0098542)	1038	118	215.26	-	.55	1.18E-11	9.54E-10
RNA localization (GO:0006403)	212	103	43.96	+	2.34	1.56E-11	1.25E-09
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	552	402.53	+	1.37	1.68E-11	1.34E-09
peptidyl-amino acid modification (GO:0018193)	886	291	183.74	+	1.58	1.81E-11	1.44E-09
negative regulation of gene expression (GO:0010629)	999	320	207.17	+	1.54	2.01E-11	1.59E-09
mitochondrial translational termination (GO:0070126)	89	60	18.46	+	3.25	2.23E-11	1.75E-09
complement activation (GO:0006956)	177	3	36.71	-	.08	2.61E-11	2.04E-09
histone modification (GO:0016570)	363	148	75.28	+	1.97	2.88E-11	2.25E-09
protein-DNA complex subunit organization (GO:0071824)	296	128	61.38	+	2.09	2.99E-11	2.32E-09
covalent chromatin modification (GO:0016569)	367	149	76.11	+	1.96	3.57E-11	2.76E-09
organelle assembly (GO:0070925)	796	264	165.07	+	1.60	8.97E-11	6.88E-09
response to bacterium (GO:0009617)	721	73	149.52	-	.49	1.11E-10	8.49E-09
innate immune response (GO:0045087)	848	93	175.86	-	.53	1.37E-10	1.04E-08
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	301	127	62.42	+	2.03	1.40E-10	1.05E-08
ribonucleoprotein complex localization (GO:0071166)	127	72	26.34	+	2.73	1.39E-10	1.05E-08
DNA replication (GO:0006260)	273	118	56.61	+	2.08	1.89E-10	1.41E-08
regulation of nucleic acid-templated transcription (GO:1903506)	3475	898	720.65	+	1.25	1.93E-10	1.44E-08
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	3	34.22	-	.09	2.03E-10	1.51E-08
ribonucleoprotein complex export from nucleus (GO:0071426)	126	71	26.13	+	2.72	2.17E-10	1.60E-08
regulation of transcription, DNA-templated (GO:0006355)	3474	897	720.44	+	1.25	2.23E-10	1.64E-08
cell division (GO:0051301)	498	182	103.28	+	1.76	2.35E-10	1.72E-08
regulation of inflammatory response (GO:0050727)	518	45	107.42	-	.42	2.51E-10	1.83E-08
regulation of RNA biosynthetic process (GO:2001141)	3480	898	721.68	+	1.24	2.62E-10	1.90E-08
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	208	7	43.14	-	.16	2.65E-10	1.91E-08
keratinization (GO:0031424)	227	9	47.08	-	.19	3.25E-10	2.34E-08
biological adhesion (GO:0022610)	959	112	198.88	-	.56	3.39E-10	2.43E-08
cellular protein complex disassembly (GO:0043624)	138	74	28.62	+	2.59	3.76E-10	2.68E-08
cellular component disassembly (GO:0022411)	409	156	84.82	+	1.84	3.92E-10	2.78E-08
regulation of RNA stability (GO:0043487)	253	111	52.47	+	2.12	4.10E-10	2.90E-08
complement activation, classical pathway (GO:0006958)	161	3	33.39	-	.09	4.72E-10	3.31E-08
inflammatory response (GO:0006954)	498	43	103.28	-	.42	4.93E-10	3.45E-08
cell adhesion (GO:0007155)	953	112	197.63	-	.57	5.28E-10	3.68E-08
RNA 3'-end processing (GO:0031123)	142	75	29.45	+	2.55	5.49E-10	3.81E-08
regulation of protein metabolic process (GO:0051246)	2665	708	552.67	+	1.28	6.79E-10	4.69E-08
regulation of inflammatory response to antigenic stimulus (GO:0002861)	222	9	46.04	-	.20	6.83E-10	4.69E-08
negative regulation of inflammatory response (GO:0050728)	320	20	66.36	-	.30	6.89E-10	4.71E-08
regulation of cellular protein metabolic process (GO:0032268)	2501	670	518.66	+	1.29	7.33E-10	4.99E-08
regulation of mRNA catabolic process (GO:0061013)	252	109	52.26	+	2.09	9.00E-10	6.10E-08
regulation of chromosome organization (GO:0033044)	290	120	60.14	+	2.00	1.20E-09	8.09E-08
proteolysis (GO:0006508)	1306	384	270.84	+	1.42	1.37E-09	9.19E-08
negative regulation of cellular metabolic process (GO:0031324)	2613	693	541.89	+	1.28	1.45E-09	9.71E-08
regulation of mRNA stability (GO:0043488)	241	105	49.98	+	2.10	1.51E-09	1.01E-07
regulation of ion transport (GO:0043269)	703	75	145.79	-	.51	1.75E-09	1.16E-07
tRNA processing (GO:0008033)	134	71	27.79	+	2.55	1.91E-09	1.27E-07
establishment of RNA localization (GO:0051236)	191	89	39.61	+	2.25	2.00E-09	1.32E-07
negative regulation of nitrogen compound metabolic process (GO:0051172)	2453	654	508.70	+	1.29	2.20E-09	1.44E-07
nucleic acid transport (GO:0050657)	189	88	39.19	+	2.25	2.68E-09	1.74E-07
RNA transport (GO:0050658)	189	88	39.19	+	2.25	2.68E-09	1.75E-07
response to external biotic stimulus (GO:0043207)	1426	194	295.72	-	.66	2.79E-09	1.80E-07
response to other organism (GO:0051707)	1425	194	295.52	-	.66	2.78E-09	1.80E-07
RNA export from nucleus (GO:0006405)	124	67	25.72	+	2.61	3.00E-09	1.92E-07
nucleobase-containing compound transport (GO:0015931)	245	105	50.81	+	2.07	3.00E-09	1.93E-07
negative regulation of cell cycle process (GO:0010948)	368	140	76.32	+	1.83	4.19E-09	2.67E-07
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	514	386.35	+	1.33	4.31E-09	2.73E-07
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	110	61	22.81	+	2.67	5.12E-09	3.22E-07
mRNA export from nucleus (GO:0006406)	110	61	22.81	+	2.67	5.12E-09	3.24E-07
protein polyubiquitination (GO:0000209)	325	127	67.40	+	1.88	5.29E-09	3.32E-07
negative regulation of cell cycle (GO:0045786)	454	163	94.15	+	1.73	5.78E-09	3.61E-07
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	167	5	34.63	-	.14	6.14E-09	3.82E-07
RNA modification (GO:0009451)	172	81	35.67	+	2.27	6.91E-09	4.28E-07
protein modification by small protein removal (GO:0070646)	295	118	61.18	+	1.93	7.33E-09	4.52E-07
positive regulation of RNA metabolic process (GO:0051254)	1773	490	367.69	+	1.33	8.07E-09	4.96E-07
protein-containing complex localization (GO:0031503)	259	107	53.71	+	1.99	1.05E-08	6.41E-07
ribosomal large subunit biogenesis (GO:0042273)	72	47	14.93	+	3.15	1.09E-08	6.66E-07
response to stimulus (GO:0050896)	8540	1571	1771.03	-	.89	1.31E-08	7.98E-07
double-strand break repair (GO:0006302)	204	90	42.31	+	2.13	1.33E-08	8.06E-07
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	435	321.65	+	1.35	1.56E-08	9.42E-07
mRNA transport (GO:0051028)	160	76	33.18	+	2.29	1.60E-08	9.64E-07
protein-DNA complex assembly (GO:0065004)	256	105	53.09	+	1.98	1.93E-08	1.16E-06
negative regulation of cell cycle phase transition (GO:1901988)	294	116	60.97	+	1.90	2.11E-08	1.26E-06
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	431	319.37	+	1.35	2.39E-08	1.42E-06
negative regulation of immune system process (GO:0002683)	597	63	123.81	-	.51	2.44E-08	1.45E-06
ribosomal small subunit biogenesis (GO:0042274)	73	46	15.14	+	3.04	2.50E-08	1.47E-06
regulation of cellular response to stress (GO:0080135)	692	222	143.51	+	1.55	2.67E-08	1.57E-06
regulation of DNA metabolic process (GO:0051052)	372	137	77.15	+	1.78	2.70E-08	1.58E-06
aerobic respiration (GO:0009060)	160	75	33.18	+	2.26	2.74E-08	1.60E-06
positive regulation of cellular biosynthetic process (GO:0031328)	1969	531	408.33	+	1.30	2.98E-08	1.73E-06
response to external stimulus (GO:0009605)	2525	399	523.64	-	.76	3.54E-08	2.05E-06
cell recognition (GO:0008037)	241	14	49.98	-	.28	3.57E-08	2.06E-06
cellular respiration (GO:0045333)	187	83	38.78	+	2.14	3.61E-08	2.07E-06
negative regulation of cellular biosynthetic process (GO:0031327)	1610	446	333.88	+	1.34	3.70E-08	2.12E-06
negative regulation of mitotic cell cycle phase transition (GO:1901991)	240	99	49.77	+	1.99	3.76E-08	2.15E-06
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	222	12	46.04	-	.26	4.09E-08	2.33E-06
negative regulation of biosynthetic process (GO:0009890)	1643	453	340.73	+	1.33	4.15E-08	2.35E-06
protein deubiquitination (GO:0016579)	278	110	57.65	+	1.91	4.17E-08	2.35E-06
